Source,Category,EventName,DateTime,City,VenueName,Address,Link,Description,DateTime_start,DateTime_end,Jour_start,Mois_start,Année_start,Heure_start,Heure_end,lat,lon,duration_h,tags,langue
Ticketmaster,Concerts,Encore - Ayra Starr,2023-05-05 21:00:00,Hallandale Beach,Gulfstream Park Racing and Casino,,https://www.universe.com/events/encore-ayra-starr-tickets-48QP97?ref=ticketmaster,Pas de description.,2023-01-01 00:00:00,2025-05-01 00:00:00,1.0,1.0,2023.0,00:00,00:00,25.9812025,-80.148379,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,Ticket for you  + 1 for ALL 2025 shows!,2025-01-09 08:00:00,Lafayette,Blue Moon Saloon,,https://www.ticketweb.com/event/ticket-for-you-blue-moon-saloon-tickets/14158823,Pas de description.,2025-01-01 00:00:00,2025-01-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,30.2262187,-92.0178202,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,Bay Breakers Season Ticket,2025-03-08 00:00:00,Lodi,Grape Bowl,,https://www.universe.com/events/bay-breakers-season-ticket-tickets-9F6S1B?ref=ticketmaster,Pas de description.,2025-01-01 00:00:00,2025-03-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,45.2613104,9.4916781,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,2024 Bulls Bucks Vouchers,2025-03-12 09:00:00,Durham,Durham Bulls Athletic Park,,,Pas de description.,2025-01-01 00:00:00,2025-03-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,54.666667,-1.75,2.5,['Concert/Sport'],de
Ticketmaster,Concerts,DNC Test,2025-05-30 19:00:00,Buffalo,KeyBank Center,,,Pas de description.,2025-01-01 00:00:00,2025-05-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,42.8867166,-78.8783922,2.5,['Concert/Sport'],de
Ticketmaster,Concerts,2024-25 Wings Full Season Discount Pass,2025-06-15 19:00:00,Philadelphia,Xfinity Mobile Arena,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,39.9527237,-75.1635262,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,2024-25 Full Season Discount Pass,2025-06-15 19:00:00,Philadelphia,Xfinity Mobile Arena,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,39.9527237,-75.1635262,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,2024-25 Half Season Discount Pass,2025-06-15 19:00:00,Philadelphia,Xfinity Mobile Arena,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,39.9527237,-75.1635262,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,24-25 Diamond ID,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,24-25 Gold ID,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,24-25 Regions ID,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,24-25 Staff ID,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],de
Ticketmaster,Concerts,24-25 Silver ID,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],no
Ticketmaster,Concerts,24-25 Platinum ID,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],ro
Ticketmaster,Concerts,Half Member Discount Card 2024-25,2025-07-01 22:00:00,Buffalo,KeyBank Center,,,Pas de description.,2025-01-01 00:00:00,2025-07-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,42.8867166,-78.8783922,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,Half Share Discount Card 2024-25,2025-07-01 22:00:00,Buffalo,KeyBank Center,,,Pas de description.,2025-01-01 00:00:00,2025-07-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,42.8867166,-78.8783922,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,Full Member Discount Card 2024-25,2025-07-01 23:00:00,Buffalo,KeyBank Center,,,Pas de description.,2025-01-01 00:00:00,2025-07-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,42.8867166,-78.8783922,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,Full Share Discount Card 2024-25,2025-07-01 23:00:00,Buffalo,KeyBank Center,,,Pas de description.,2025-01-01 00:00:00,2025-07-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,42.8867166,-78.8783922,2.5,['Concert/Sport'],en
Ticketmaster,Concerts,MAD Arts,2025-09-04 11:30:00,Dania Beach,MAD Arts Gallery,,https://www.universe.com/events/mad-arts-tickets-0BYVF9?ref=ticketmaster,Pas de description.,2025-01-01 00:00:00,2025-09-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,26.0524224,-80.143929,2.5,['Concert/Sport'],de
Ticketmaster,Concerts,GIVEX,2025-09-04 23:00:00,Buffalo,KeyBank Center,,,Pas de description.,2025-01-01 00:00:00,2025-09-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,42.8867166,-78.8783922,2.5,['Concert/Sport'],de
Ticketmaster,Concerts,Indiana Trail of Fear (5 Haunted Houses),2025-09-19 19:00:00,Fort Wayne,Downtown Fort Wayne,,https://www.universe.com/events/indiana-trail-of-fear-5-haunted-houses-tickets-SQVWMJ?ref=ticketmaster,Pas de description.,2025-01-01 00:00:00,2025-09-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,41.0799898,-85.1386015,2.5,['Concert/Sport'],en
