Source,Category,EventName,DateTime,City,VenueName,Address,Link,Description,DateTime_start,DateTime_end,Jour_start,Mois_start,Année_start,Heure_start,Heure_end,lat,lon,duration_h,tags,Langue
Ticketmaster,Concerts,Encore - Ayra Starr,2023-05-05 21:00:00,Hallandale Beach,Gulfstream Park Racing and Casino,,https://www.universe.com/events/encore-ayra-starr-tickets-48QP97?ref=ticketmaster,Pas de description.,2023-01-01 00:00:00,2025-05-01 00:00:00,1.0,1.0,2023.0,00:00,00:00,25.9812025,-80.148379,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Billet pour vous + 1 pour TOUS les spectacles 2025 !,2025-01-09 08:00:00,Lafayette,Blue Moon Saloon,,https://www.ticketweb.com/event/ticket-for-you-blue-moon-saloon-tickets/14158823,Pas de description.,2025-01-01 00:00:00,2025-01-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,30.2262187,-92.0178202,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Abonnement de saison pour Bay Breakers,2025-03-08 00:00:00,Lodi,Grape Bowl,,https://www.universe.com/events/bay-breakers-season-ticket-tickets-9F6S1B?ref=ticketmaster,Pas de description.,2025-01-01 00:00:00,2025-03-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,45.2613104,9.4916781,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Bons d'achat Bulls Bucks 2024,2025-03-12 09:00:00,Durham,Durham Bulls Athletic Park,,,Pas de description.,2025-01-01 00:00:00,2025-03-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,54.666667,-1.75,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Test DNC,2025-05-30 19:00:00,Buffalo,KeyBank Center,,,Pas de description.,2025-01-01 00:00:00,2025-05-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,42.8867166,-78.8783922,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Pass de réduction pour la saison complète des Wings 2024-25,2025-06-15 19:00:00,Philadelphia,Xfinity Mobile Arena,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,39.9527237,-75.1635262,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Pass de réduction pour la saison complète 2024-25,2025-06-15 19:00:00,Philadelphia,Xfinity Mobile Arena,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,39.9527237,-75.1635262,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Pass de réduction demi-saison 2024-25,2025-06-15 19:00:00,Philadelphia,Xfinity Mobile Arena,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,39.9527237,-75.1635262,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,24-25 ID diamant,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],es
Ticketmaster,Concerts,Carte d'identité Or 24-25,2025-06-30 20:00:00,Nashville,Nashville Predators,,,Pas de description.,2025-01-01 00:00:00,2025-06-01 00:00:00,1.0,1.0,2025.0,00:00,00:00,36.1622767,-86.7742984,2.5,['Concert/Sport'],es
